sampleid,composition,Temperature,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity
3631,Sr0.1Mm0.1Co4Sb12,350,-0.00010974453744159608,5.336209936657042,0.15078084307937445,188494.17839338304
3632,Ba0.08Mm0.08Co4Sb12,350,-0.00011142651253059124,4.4720999743757375,0.09474982047337123,98138.47939470997
5657,Ce0.6Fe2Co2Sb12,350,0.00013029621335559598,1.764046527477489,0.19048465011394766,54145.530360459496
3633,(Ca0.5Sr0.5)0.09Mm0.09Co4Sb12,350,-0.00014482568822143574,4.254530800189059,0.3026173358179029,173774.09995609152
5650,Ce0.6Fe2Co2Sb12,350,9.474432454815708e-05,2.056595051772018,0.09544522540205602,62478.20477519316
3634,(Ca0.5Ba0.5)0.09Mm0.09Co4Sb12,350,-0.00013819969603988462,3.957994618496969,0.3081827569018287,180327.0186382248
5652,Ce0.6Fe2Co2Sb12,350,0.00013506948717655878,1.8350678923159331,0.22479189639035055,64602.63635730398
3480,CoSb3/WO3,350,0.00010910514290088216,2.080679845124976,0.10816031670625036,52733.642489331985
5602,Nd0.9Fe3CoSb12,350,0.00011274011557089564,1.7619956442637728,0.30351448701939804,121739.8085845463
3625,CoSb3,350,-0.00023160914023063851,8.212262545553019,0.06419450171203178,27330.033022923504
3626,CoSb3,350,-0.0002872965117559547,8.25978169433197,0.07743095216697822,21474.75959176744
3630,Ca0.1Mm0.1Co4Sb12,350,-0.00016801714405692257,4.796002560598224,0.24936507582391695,120147.29880162905
3576,Fe1.5Co2.5Sb12,350,7.876042961178949e-05,2.5019450547854514,0.07530369009605309,88336.06118223206
3577,Fe2Co2Sb12,350,5.4365998808254216e-05,5.861378964305282,0.021852678103756684,142878.4672446625
3583,CoSb3,350,5.517972424581765e-05,7.810979175782013,0.0019963278372201465,13049.223175689329
3575,Fe1Co3Sb12,350,7.227510739834908e-05,3.164829162422052,0.06838800559778369,112594.69424590227
3479,CoSb3/WO3,350,0.00011457399105245903,2.5038134419232545,0.11407321158890404,58608.35818032037
3567,CoSb2.99Sn0.01,350,3.4002160929609364e-05,8.279315492077117,0.006060418670644219,137308.28604944382
3568,CoSb2.95Sn0.05,350,2.2267170669743548e-05,5.567052004923781,0.004010292780214031,130434.17303803455
3569,CoSb2.9Sn0.1,350,2.2392891105954093e-05,5.321399531255568,0.004063397187523382,126779.2820470774
3570,CoSb2.8Sn0.2,350,2.0442643075671834e-05,2.3259333580151558,0.0049772159109529035,92096.83058691556
3571,CoSb2.7Sn0.3,350,2.024454657007608e-05,3.151536307876881,0.005677222771319712,112893.84399121233
5729,CoSb3,350,0.0001296168565760587,8.679581396821602,0.5133256920504824,757706.0719486275
3573,CoSb2.5Sn0.5,350,1.6835660048556593e-05,3.5051991971512635,0.0040959045797877005,159366.91999838618
5726,Yb0.2Co4Sb12,350,-0.0001494220525191294,2.59465216577134,0.2327498979470948,81269.72567001733
5590,Ce0.75Yb0.25Fe3.5Co0.5Sb12,350,0.00010158684104555632,2.1755795202580117,0.293919495256772,170880.49334756145
5593,Ce0.75Yb0.25Fe3CoSb12,350,0.00012055587711255336,1.955373535411656,0.2908391621409561,107772.0089808119
3594,Ni0.3Co3.4Sb12,350,-0.00012634651852123991,3.421127528415816,0.2679408575691897,164064.11620907555
5702,Ba0.05Yb0.13Eu0.04Co4Sb12,350,-0.00014969424504808357,2.5941786794392057,2.6821045308161853e-11,8.871505629648472e-06
5594,Ce0.5Yb0.5Fe3CoSb12,350,0.00011126602112375178,2.1436855932273082,0.27731089526045755,129996.92878094132
5701,Ba0.08Yb0.14Eu0.02Co4Sb12,350,-0.00013987708260233662,2.5978154017268107,1.913179655949365e-11,7.257764391511363e-06
3155,Yb0.95Fe3.5Ni0.5Sb12,350,0.00010524884940315936,2.4306206017043896,0.2623270653221523,184054.23149716726
5713,In0.4Co4Sb12,350,-0.00013910060163623068,2.3595764514416566,0.24887985967913284,87474.77180274851
3587,Fe0.375 Ni0.375Co0.25Sb3,350,-9.874596980608951e-05,3.0078903012612765,0.05007634148372925,42845.215838638534
5591,Ce0.5Yb0.5Fe3.5Co0.5Sb12,350,0.00010033396633658625,2.4550308657878945,0.27801671198482786,186102.3187155555
5711,In0.16Co4Sb12,350,-0.00012028188077872132,2.1983981718909877,0.17141721505888752,76267.5717300564
3589,Fe0.3Co3.7Sb12,350,0.00017376472321279388,5.441725000908967,0.0460609449714402,26134.00721497165
5592,Ce0.25Yb0.75Fe3.5Co0.5Sb12,350,9.889571502769583e-05,2.4679482728969124,0.2893919761442061,206695.10941889047
5744,Ba0.07Yb0.067Co4Sb12,350,-0.00014986167687099574,3.9195436484620427,0.32867302455850633,155316.41545676434
3132,Ba0.39Ce0.02Co4Sb12.05,350,-8.693077862126056e-05,4.4802513052406905,0.2449766746676134,400375.2223960217
3673,In0.2Rh4Sb12,350,-4.669867716648103e-05,6.777525973869111,0.0033801169497071908,36008.45703028032
3131,Ba0.27Ce0.04Co4sb12.02,350,-9.771969767045944e-05,4.373427805681141,0.2817222316206741,343413.459742615
3129,Ba0.17Co4Sb12.03,350,-0.00014207739934198315,4.602249781297398,0.3349070796192664,204760.24398148397
11613,TlxFe1Co3Sb12,350,0.00012075166592639795,1.7482961209113084,0.09670345039673042,31156.98743005521
11612,TlxFe1Co3Sb12,350,0.00010624340313094279,2.0334254293510297,0.07060232864586488,40560.51764419477
11611,TlxFe1Co3Sb12,350,9.944327378965752e-05,1.547166674839774,0.09562490460730896,49208.039767306866
3130,Ba0.18ce0.05Co4Sb12.02,350,-0.00011547836366480215,3.844258366900548,0.3570926347305841,285850.1795293685
4592,Co4Sb11.3Te0.58Se0.12,400,-0.00015285640688006782,3.278139685138453,0.362180147689274,125512.55016468644
4459,La0.25Ce0.75Fe3CoSb12,400,0.00012002354537000979,2.2285487916581608,0.2786699439448678,101490.02544522047
4927,(GaVF)0.1Co4Sb5.95(GaSb)0.05,400,-0.0002676358277792478,2.7883984705175937,0.3155526284445941,29320.72654086642
4926,(GaVF)0.087Co4Sb5.9565(GaSb)0.0435,400,-0.0002563405242728797,2.999136159946364,0.3841514779788002,42175.317194222334
4402,Co4Sb12,400,-0.00019325012038641124,5.934923635461836,0.011543091794946976,4543.5738875356
4925,(GaVF)0.067Co4Sb5.9665(GaSb)0.0335,400,-0.0002985098456607456,2.971006787914611,0.26991232451416186,22725.06454379305
